Question ID (machine readable),Response ID (machine readable),Response value,Answer requirement,Human-friendly question label
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_SHARED,,MULTIPLE_CHOICE,استخدام البيانات ومعالجتها (عنوان بريد إلكتروني) / هل يتم جمع هذه البيانات أو مشاركتها أو كلاهما؟ / بيانات تتم مشاركتها
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:PSL_DATA_USAGE_EPHEMERAL,,true,MAYBE_REQUIRED,استخدام البيانات ومعالجتها (عنوان بريد إلكتروني) / هل تتم معالجة هذه البيانات بشكل مؤقت؟
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_OPTIONAL,,SINGLE_CHOICE,استخدام البيانات ومعالجتها (عنوان بريد إلكتروني) / هل هذه البيانات مطلوبة لاستخدام تطبيقك، أو هل يمكن للمستخدمِين اختيار عدم جمعها؟ / يمكن للمستخدمِين اختيار جمع هذه البيانات أو عدم جمعها
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_REQUIRED,true,SINGLE_CHOICE,استخدام البيانات ومعالجتها (عنوان بريد إلكتروني) / هل هذه البيانات مطلوبة لاستخدام تطبيقك، أو هل يمكن للمستخدمِين اختيار عدم جمعها؟ / جمع البيانات مطلوب (لا يمكن للمستخدمِين إيقاف عملية جمع البيانات)
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_COLLECTION_PURPOSE,PSL_APP_FUNCTIONALITY,true,MULTIPLE_CHOICE,استخدام البيانات ومعالجتها (عنوان بريد إلكتروني) / لماذا يتم جمع بيانات المستخدمين هذه؟ اختَر جميع الإجابات المناسبة. / وظائف التطبيق
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_COLLECTION_PURPOSE,PSL_ANALYTICS,true,MULTIPLE_CHOICE,استخدام البيانات ومعالجتها (عنوان بريد إلكتروني) / لماذا يتم جمع بيانات المستخدمين هذه؟ اختَر جميع الإجابات المناسبة. / إحصاءات
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_COLLECTION_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,true,MULTIPLE_CHOICE,استخدام البيانات ومعالجتها (عنوان بريد إلكتروني) / لماذا يتم جمع بيانات المستخدمين هذه؟ اختَر جميع الإجابات المناسبة. / مراسلات المطوّر
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_COLLECTION_PURPOSE,PSL_FRAUD_PREVENTION_SECURITY,true,MULTIPLE_CHOICE,استخدام البيانات ومعالجتها (عنوان بريد إلكتروني) / لماذا يتم جمع بيانات المستخدمين هذه؟ اختَر جميع الإجابات المناسبة. / منع الاحتيال والأمان والامتثال
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_COLLECTION_PURPOSE,PSL_ADVERTISING,,MULTIPLE_CHOICE,استخدام البيانات ومعالجتها (عنوان بريد إلكتروني) / لماذا يتم جمع بيانات المستخدمين هذه؟ اختَر جميع الإجابات المناسبة. / الإعلان أو التسويق
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_COLLECTION_PURPOSE,PSL_PERSONALIZATION,true,MULTIPLE_CHOICE,استخدام البيانات ومعالجتها (عنوان بريد إلكتروني) / لماذا يتم جمع بيانات المستخدمين هذه؟ اختَر جميع الإجابات المناسبة. / تخصيص
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_COLLECTION_PURPOSE,PSL_ACCOUNT_MANAGEMENT,true,MULTIPLE_CHOICE,استخدام البيانات ومعالجتها (عنوان بريد إلكتروني) / لماذا يتم جمع بيانات المستخدمين هذه؟ اختَر جميع الإجابات المناسبة. / إدارة الحساب
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_SHARING_PURPOSE,PSL_APP_FUNCTIONALITY,,MULTIPLE_CHOICE,استخدام البيانات ومعالجتها (عنوان بريد إلكتروني) / لماذا تتم مشاركة بيانات المستخدمين هذه؟ اختَر جميع الإجابات المناسبة. / وظائف التطبيق
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_SHARING_PURPOSE,PSL_ANALYTICS,,MULTIPLE_CHOICE,استخدام البيانات ومعالجتها (عنوان بريد إلكتروني) / لماذا تتم مشاركة بيانات المستخدمين هذه؟ اختَر جميع الإجابات المناسبة. / إحصاءات
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_SHARING_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,,MULTIPLE_CHOICE,استخدام البيانات ومعالجتها (عنوان بريد إلكتروني) / لماذا تتم مشاركة بيانات المستخدمين هذه؟ اختَر جميع الإجابات المناسبة. / مراسلات المطوّر
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_SHARING_PURPOSE,PSL_FRAUD_PREVENTION_SECURITY,,MULTIPLE_CHOICE,استخدام البيانات ومعالجتها (عنوان بريد إلكتروني) / لماذا تتم مشاركة بيانات المستخدمين هذه؟ اختَر جميع الإجابات المناسبة. / منع الاحتيال والأمان والامتثال
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_SHARING_PURPOSE,PSL_ADVERTISING,,MULTIPLE_CHOICE,استخدام البيانات ومعالجتها (عنوان بريد إلكتروني) / لماذا تتم مشاركة بيانات المستخدمين هذه؟ اختَر جميع الإجابات المناسبة. / الإعلان أو التسويق
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_SHARING_PURPOSE,PSL_PERSONALIZATION,,MULTIPLE_CHOICE,استخدام البيانات ومعالجتها (عنوان بريد إلكتروني) / لماذا تتم مشاركة بيانات المستخدمين هذه؟ اختَر جميع الإجابات المناسبة. / تخصيص
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_SHARING_PURPOSE,PSL_ACCOUNT_MANAGEMENT,,MULTIPLE_CHOICE,استخدام البيانات ومعالجتها (عنوان بريد إلكتروني) / لماذا تتم مشاركة بيانات المستخدمين هذه؟ اختَر جميع الإجابات المناسبة. / إدارة الحساب
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_COLLECTED,true,MULTIPLE_CHOICE,استخدام البيانات ومعالجتها (أرقام تعريف المستخدمين) / هل يتم جمع هذه البيانات أو مشاركتها أو كلاهما؟ / بيانات يتم جمعها
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_SHARED,,MULTIPLE_CHOICE,استخدام البيانات ومعالجتها (أرقام تعريف المستخدمين) / هل يتم جمع هذه البيانات أو مشاركتها أو كلاهما؟ / بيانات تتم مشاركتها
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:PSL_DATA_USAGE_EPHEMERAL,,true,MAYBE_REQUIRED,استخدام البيانات ومعالجتها (أرقام تعريف المستخدمين) / هل تتم معالجة هذه البيانات بشكل مؤقت؟
